Coefficient,Shift of Coefficient,Description,Feature
0.4182631,-0.1240454,"Out-of-fold mean of the response (class 0) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.0
0.3059263,-0.2199225,"Out-of-fold mean of the response (class 1) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.1
0.2992454,-0.1103002,"Out-of-fold mean of the response (class 2) grouped by: ['tweet'] using 5 folds [internal:(10, 3, 10)]",0_CVTE:tweet.2
1.063727,-0.4117155,"Predicted probabilities of class #1 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.0
1.121451,-0.408551,"Predicted probabilities of class #2 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.1
0.9191412,-0.6151211,"Predicted probabilities of class #3 based on TEXTCHARCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",1_TEXTCHARCNN_TE:tweet.2
1.436012,-0.7107205,"Feature #1 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.0
1.163562,-0.7000487,"Feature #2 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.1
1.101648,-0.644053,"Feature #11 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.10
1.195915,-0.4348531,"Feature #12 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.11
1.015698,-0.6093394,"Feature #13 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.12
1.067233,-0.4499927,"Feature #14 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.13
1.406763,-0.2237245,"Feature #15 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.14
1.019041,-0.4517429,"Feature #16 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.15
1.234234,-0.5070544,"Feature #17 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.16
1.12556,-0.7907729,"Feature #18 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.17
1.177799,-0.6572597,"Feature #19 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.18
1.352182,-0.5038284,"Feature #20 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.19
1.189051,-0.3844118,"Feature #3 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.2
1.463774,-0.5296849,"Feature #21 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.20
1.162503,-0.7418933,"Feature #22 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.21
1.171538,-0.2704146,"Feature #23 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.22
1.141099,-0.7263231,"Feature #24 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.23
0.998145,-0.4117487,"Feature #25 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.24
1.218716,-0.2671136,"Feature #26 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.25
1.000273,-0.4626395,"Feature #27 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.26
1.087219,-0.4660001,"Feature #28 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.27
1.3434,-0.2582837,"Feature #29 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.28
1.135717,-0.7071407,"Feature #30 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.29
2.565656,-1.595374,"Feature #4 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.3
1.032158,-0.3780906,"Feature #31 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.30
1.261173,-0.512525,"Feature #32 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.31
1.185102,-0.4973067,"Feature #33 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.32
1.265425,-0.4432414,"Feature #34 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.33
1.12622,-0.4946631,"Feature #35 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.34
1.227938,-0.3406504,"Feature #36 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.35
0.9947554,-0.7665573,"Feature #37 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.36
1.188274,-0.3147618,"Feature #38 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.37
1.099404,-0.3648086,"Feature #39 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.38
1.306028,-0.684877,"Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.39
1.931705,-1.55148,"Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.4
1.176243,-0.3846503,"Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.40
1.092634,-0.467086,"Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.41
1.426219,-0.7408595,"Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.42
0.9969158,-0.4402623,"Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.43
1.25744,-0.3722293,"Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.44
1.164473,-0.4210131,"Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.45
1.114052,-0.5144612,"Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.46
1.21684,-0.1297281,"Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.47
1.032655,-0.6151681,"Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.48
1.153473,-0.5003464,"Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.49
1.454386,-0.9005243,"Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.5
1.297372,-0.5853045,"Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.6
1.241956,-0.4232696,"Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.7
1.233654,-0.8270562,"Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.8
1.097231,-0.6592716,"Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet' [internal:(True, 2, 50)]",2_Txt:tweet.9
1.882609,-0.7511169,"Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.0
2.93171,-2.553365,"Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.1
2.518945,-0.2493188,"Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.2
