indiv_id,iter_num,accuracy,time_tolerance,interpretability,score,tournament_score,score_sd,top derived_features,top original_features,training_times,best_iterations,last_3_mutation_try_actual_actions,ngenes_start,ngenes_max,ngenes,ngenes_dead,nfeatures_max,nfeatures,feature_cost,model_name,target_transformer_name,from_brain,derived_from_brain,from_brain_count,derived_from_brain_count,booster,model_class_name,n_gpus,gpu_id,n_jobs,num_classes,num_class,labels,score_f_name,random_state,time_column,tgc,pred_gap,pred_periods,target,n_estimators,learning_rate,early_stopping_rounds,reg_alpha,reg_lambda,gamma,max_bin,scale_pos_weight,max_delta_step,min_child_weight,subsample,colsample_bytree,tree_method,grow_policy,max_depth,max_leaves,objective,eval_metric,early_stopping_threshold,monotonicity_constraints,silent,debug_verbose,seed,disable_gpus,lossguide,dummy,ensemble_level,train_shape,valid_shape,model_origin,subsample_freq,min_data_in_bin,min_child_samples,boosting_type,enable_early_stopping_rounds,epochs,add_wide,add_attention,layers,activation,batch_size,chunk_size,dropout,strategy,l1,l2,ort_loss,ort_loss_tau,normalize_type,best_learning_rate,task,experiment_id
0,10,7,2,8,0.5542046528120853,0.5542046528120853,0.07077014369803943,"[['1_TEXTCNN_TE:tweet.0', 1.0], ['1_TEXTCNN_TE:tweet.1', 0.827526330947876], ['1_TEXTCNN_TE:tweet.2', 0.655695915222168]]","[['tweet', 1.0]]",5.156784534454346,94,[],2,100,2,0,100,6,6,XGBOOSTGBM,NoneType,False,False,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,0.7,0.8,hist,depthwise,6,0,multi:softprob,mlogloss,1e-05,False,True,0,923427085,True,False,False,1,"(1842, 2)",,SEQUENCE,,,,,,,,,,,,,,,,,,,,,,
0,11,7,2,8,0.5334131959374965,0.5334131959374965,0.033761427949998035,"[['1_TEXTCHARCNN_TE:tweet.0', 1.0], ['1_TEXTCHARCNN_TE:tweet.1', 0.7824079990386963], ['1_TEXTCHARCNN_TE:tweet.2', 0.62784343957901]]","[['tweet', 1.0]]",2.4980592727661133,9,[],2,100,2,0,100,6,6,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,0.5,1.0,64.0,1.0,0.0,1.0,0.7,0.9,hist,lossguide,0,1024,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,5,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,12,7,2,8,0.6009628894285413,0.6009628894285413,0.03782441401228961,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.15', 0.7671884298324585], ['1_Txt:tweet.18', 0.7604098916053772]]","[['tweet', 1.0]]",1.5154879093170166,1,[],2,100,2,0,100,53,53,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,1.0,1.0,hist,depthwise,12,64,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,0,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,16,7,2,8,0.5318249787736565,0.5318249787736565,0.03380160671227894,"[['1_TEXTBIGRU_TE:tweet.2', 1.0], ['1_TEXTBIGRU_TE:tweet.0', 0.8217858076095581], ['1_TEXTBIGRU_TE:tweet.1', 0.7520402669906616]]","[['tweet', 1.0]]",1.7626051902770996,21,[],2,50,2,0,100,4,4,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,0.7,0.8,hist,depthwise,6,0,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:False,interp:11,depth:6,num_as_cat:False",1,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,17,7,2,8,0.4848730022871274,0.4848730022871274,0.03507462978680737,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.12', 0.9073237776756287], ['1_Txt:tweet.0', 0.8907953500747681]]","[['tweet', 1.0]]",4.943855285644531,80,"[['add', 'add']]",3,100,3,0,100,54,54,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,10.0,0.1,64.0,1.0,0.0,1.0,0.7,0.7,hist,lossguide,0,1024,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,5,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,18,7,2,8,0.5609305238697443,0.5609305238697443,0.034705101944301,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.15', 0.7721372842788696], ['1_Txt:tweet.18', 0.6954407691955566]]","[['tweet', 1.0]]",1.5363683700561523,1,"[['add', 'add']]",3,100,3,1,100,56,56,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,1.0,1.0,hist,depthwise,6,32,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,0,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,19,7,2,8,0.48853827383848936,0.48853827383848936,0.035241058113109715,"[['1_Txt:tweet.5', 1.0], ['1_Txt:tweet.10', 0.8257926106452942], ['1_Txt:tweet.12', 0.806918203830719]]","[['tweet', 1.0]]",4.663655996322632,50,"[['add', 'add'], ['add', 'mutate_extra_5_4']]",5,100,4,1,100,59,59,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,0.7,0.8,hist,depthwise,6,0,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,SEQUENCE,1,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,20,7,2,8,0.5649134819071822,0.5649134819071822,0.09808141611552725,"[['1_TEXTCHARCNN_TE:tweet.0', 1.0], ['3_TEXTCNN_TE:tweet.0', 0.891910970211029], ['3_TEXTCNN_TE:tweet.1', 0.891369640827179]]","[['tweet', 1.0]]",6.844408750534058,87,"[['add', 'add'], ['add', 'mutate_extra_5_4']]",5,100,4,1,100,10,10,XGBOOSTGBM,NoneType,False,False,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,600.0,0.05,30.0,0.0,2.0,0.01,64.0,1.0,0.0,1.0,0.7,0.8,hist,depthwise,10,0,multi:softprob,mlogloss,1e-05,False,True,0,923427085,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,,,,,,,,,,,,,,,,,
0,21,7,2,8,0.5744222316225521,0.5744222316225521,0.035979348372474115,"[['3_Txt:tweet.16', 1.0], ['3_Txt:tweet.19', 0.7984711527824402], ['3_Txt:tweet.5', 0.7564967274665833]]","[['tweet', 1.0]]",1.876389980316162,1,"[['add', 'add'], ['add', 'mutate_extra_5_5']]",5,100,5,1,100,60,60,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,1.0,1.0,hist,lossguide,6,128,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,0,1,1,gbdt,True,,,,,,,,,,,,,,,,,
0,22,7,2,8,0.612704226136648,0.612704226136648,0.03959955084040964,"[['5_Txt:tweet.0', 1.0], ['5_Txt:tweet.2', 0.6034125685691833], ['5_Txt:tweet.9', 0.5850842595100403]]","[['tweet', 1.0]]",1.770521640777588,1,"[['add', 'add'], ['add', 'mutate_extra_5_4']]",5,100,4,1,100,59,59,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,923427085,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1.0,1.0,1.0,hist,lossguide,11,128,multi:softprob,mlogloss,,False,True,,923427085,True,False,False,1,"(1842, 2)",,RANDOM,0,1,1,gbdt,True,,,,,,,,,,,,,,,,,
