indiv_id,iter_num,accuracy,time_tolerance,interpretability,score,tournament_score,score_sd,top derived_features,top original_features,training_times,best_iterations,last_3_mutation_try_actual_actions,ngenes_start,ngenes_max,ngenes,ngenes_dead,nfeatures_max,nfeatures,feature_cost,model_name,target_transformer_name,from_brain,derived_from_brain,from_brain_count,derived_from_brain_count,booster,model_class_name,n_gpus,gpu_id,n_jobs,num_classes,num_class,labels,score_f_name,random_state,time_column,tgc,pred_gap,pred_periods,target,n_estimators,learning_rate,early_stopping_rounds,reg_alpha,reg_lambda,gamma,max_bin,scale_pos_weight,max_delta_step,min_child_weight,subsample,subsample_freq,colsample_bytree,tree_method,grow_policy,max_leaves,max_depth,min_data_in_bin,min_child_samples,boosting_type,enable_early_stopping_rounds,objective,eval_metric,monotonicity_constraints,silent,seed,disable_gpus,lossguide,dummy,ensemble_level,train_shape,valid_shape,model_origin,early_stopping_threshold,debug_verbose,epochs,add_wide,add_attention,layers,activation,batch_size,chunk_size,dropout,strategy,l1,l2,ort_loss,ort_loss_tau,normalize_type,best_learning_rate,task,experiment_id
0,-1,7,2,8,0.8515945920884789,0.8515945920884789,0.025530216933564328,"[['0_CVTE:tweet.1', 1.0], ['0_CVTE:tweet.0', 0.9883636832237244], ['0_CVTE:tweet.2', 0.40432634949684143]]","[['tweet', 1.0]]",1.2261450290679932,1,[],1,100,1,0,100,3,3,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1,1.0,0.0,1.0,hist,lossguide,128,10,1.0,1.0,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,SEQUENCE,,,,,,,,,,,,,,,,,,,
0,1,7,2,8,0.8509260641458734,0.8509260641458734,0.02503046051829589,"[['0_CVTE:tweet.1', 1.0], ['0_CVTE:tweet.0', 0.9161873459815979], ['0_CVTE:tweet.2', 0.6107105016708374]]","[['tweet', 1.0]]",4.388916969299316,154,[],1,100,1,0,100,3,3,XGBOOSTGBM,NoneType,False,False,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,,0.8,hist,depthwise,0,6,,,,,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,SEQUENCE,1e-05,0.0,,,,,,,,,,,,,,,,,
0,2,7,2,8,0.8508755469014952,0.8508755469014952,0.025152128207114842,"[['0_CVTE:tweet.0', 1.0], ['0_CVTE:tweet.1', 1.0], ['0_CVTE:tweet.2', 1.0]]","[['tweet', 1.0]]",3.865427255630493,156,[],1,100,1,0,100,3,3,XGBOOSTGBM,NoneType,False,False,0,0,gbtree,XGBoostGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,0.1,10.0,64.0,1.0,0.0,1,0.6,,0.45,hist,lossguide,1024,0,,,,,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,RANDOM,1e-05,0.0,,,,,,,,,,,,,,,,,
0,3,7,2,8,0.8515945920884789,0.8515945920884789,0.025530216933564328,"[['0_CVTE:tweet.1', 1.0], ['0_CVTE:tweet.0', 0.9883636832237244], ['0_CVTE:tweet.2', 0.40432634949684143]]","[['tweet', 1.0]]",1.0774567127227783,1,[],1,100,1,0,100,3,3,DECISIONTREE,NoneType,False,False,0,0,decision tree,DecisionTreeModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,256.0,1.0,0.0,1,1.0,0,1.0,hist,lossguide,128,6,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,RANDOM,,,,,,,,,,,,,,,,,,,
0,4,7,2,8,0.80648914412277,0.80648914412277,0.02582995971532078,"[['1_TEXTBIGRU_TE:tweet.1', 1.0], ['1_TEXTBIGRU_TE:tweet.0', 0.705341637134552], ['1_TEXTBIGRU_TE:tweet.2', 0.5682451725006104]]","[['tweet', 1.0]]",2.6845614910125732,22,[],2,100,2,0,100,6,6,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,10,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:True,interp:8,depth:10,num_as_cat:False",,,,,,,,,,,,,,,,,,,
0,5,7,2,8,0.8498842835166739,0.8498842835166739,0.02568728217455115,"[['1_TEXTCHARCNN_TE:tweet.0', 1.0], ['1_TEXTCHARCNN_TE:tweet.1', 0.7157977223396301], ['1_TEXTCHARCNN_TE:tweet.2', 0.4233125150203705]]","[['tweet', 1.0]]",1.7702505588531494,34,[],2,100,2,0,100,6,6,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,6,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:True,interp:8,depth:6,num_as_cat:False",,,,,,,,,,,,,,,,,,,
0,6,7,2,8,0.7860242442741334,0.7860242442741334,0.02581796305177733,"[['1_TEXTCNN_TE:tweet.1', 1.0], ['1_TEXTCNN_TE:tweet.0', 0.7073945999145508], ['1_TEXTCNN_TE:tweet.2', 0.5036340951919556]]","[['tweet', 1.0]]",2.914527177810669,24,[],2,100,2,0,100,4,4,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,10,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:False,interp:8,depth:10,num_as_cat:False",,,,,,,,,,,,,,,,,,,
0,7,7,2,8,0.8028071709281217,0.8028071709281217,0.025744546978960926,"[['1_TEXTBIGRU_TE:tweet.1', 1.0], ['1_TEXTBIGRU_TE:tweet.0', 0.5645291209220886], ['1_TEXTBIGRU_TE:tweet.2', 0.4001831114292145]]","[['tweet', 1.0]]",2.0307555198669434,22,[],2,100,2,0,100,4,4,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,6,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:False,interp:8,depth:6,num_as_cat:False",,,,,,,,,,,,,,,,,,,
0,8,7,2,8,0.7790872517728006,0.7790872517728006,0.031056371302488027,"[['1_Txt:tweet.4', 1.0], ['1_Txt:tweet.7', 0.8001776933670044], ['1_Txt:tweet.2', 0.6775137186050415]]","[['tweet', 1.0]]",10.173235416412354,45,[],2,100,2,0,100,53,53,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,10,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:only,interp:8,depth:10,num_as_cat:False",,,,,,,,,,,,,,,,,,,
0,9,7,2,8,0.7810100573880916,0.7810100573880916,0.026272179456659297,"[['1_TEXTCNN_TE:tweet.1', 1.0], ['1_TEXTCNN_TE:tweet.2', 0.6112543940544128], ['1_TEXTCNN_TE:tweet.0', 0.5996244549751282]]","[['tweet', 1.0]]",2.063077211380005,27,[],2,100,2,0,100,6,6,LIGHTGBM,NoneType,False,False,0,0,lightgbm,LightGBMModel,0,0,4,3,3,"[0, 1, 2]",LOGLOSS,1006544132,,,,,,600.0,0.05,30.0,0.0,1.0,0.0,256.0,1.0,0.0,1,0.7,1,0.8,hist,depthwise,0,6,1,1,gbdt,True,multi:softprob,mlogloss,False,True,1006544132,True,False,False,1,"(1842, 2)",,"DefaultIndiv: do_te:only,interp:8,depth:6,num_as_cat:False",,,,,,,,,,,,,,,,,,,
