Coefficient,Standard Deviation of Coefficient,Description,Feature
1.990905,0.08631001,Feature #40 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.39
3.483185,0.2035123,Feature #5 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.4
1.560894,0.07980843,Feature #41 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.40
1.55972,0.07995207,Feature #42 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.41
2.167078,0.1381528,Feature #43 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.42
1.437178,0.08857355,Feature #44 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.43
1.62967,0.0369637,Feature #45 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.44
1.585486,0.05435194,Feature #46 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.45
1.628514,0.04634263,Feature #47 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.46
1.346568,0.06943532,Feature #48 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.47
1.647823,0.07848912,Feature #49 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.48
1.65382,0.1043385,Feature #50 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.49
2.35491,0.07649433,Feature #6 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.5
1.882676,0.06813077,Feature #7 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.6
1.665225,0.07871366,Feature #8 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.7
2.06071,0.1553989,Feature #9 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.8
1.756503,0.05260652,Feature #10 of tf-idf-based word embedding  (followed by dimensionality reduction to 50 dimensions) of 'tweet',2_Txt:tweet.9
2.633726,0.06956876,"Predicted probabilities of class #1 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.0
5.485075,0.2102175,"Predicted probabilities of class #2 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.1
2.768263,0.1900134,"Predicted probabilities of class #3 based on TEXTCNN model on text column ['tweet'] (embeddings trained from scratch), trained for 2 epochs",3_TEXTCNN_TE:tweet.2
0.008046483,0.001531641,Encoding of categorical levels of feature(s) ['tweet'] to their counts,5_Freq:tweet
